#	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)
153	32.20	33.24	34.37	34.61
154	32.19	33.08	34.30	34.43
155	32.19	32.93	34.23	34.27
156	32.17	32.79	34.16	34.12
157	32.15	32.66	34.08	33.97
158	32.13	32.53	34.00	33.84
159	32.10	32.41	33.91	33.71
160	32.06	32.30	33.83	33.59
161	32.03	32.20	33.74	33.48
162	32.00	32.10	33.66	33.37
163	31.96	32.01	33.57	33.26
164	31.92	31.92	33.49	33.16
165	31.89	31.86	33.40	33.11
166	31.85	31.87	33.32	33.23
167	31.81	31.99	33.28	33.48
168	31.78	32.16	33.27	33.77
169	31.77	32.37	33.31	34.08
170	31.77	32.59	33.37	34.37
171	31.78	32.83	33.45	34.65
172	31.80	33.05	33.54	34.92
173	31.84	33.28	33.65	35.17
174	31.89	33.49	33.77	35.40
175	31.95	33.70	33.89	35.62
176	32.01	33.90	34.02	35.83
177	32.08	34.09	34.15	36.03
178	32.16	34.27	34.28	36.22
179	32.24	34.45	34.41	36.40
180	32.32	34.61	34.55	36.57
181	32.40	34.77	34.69	36.74
182	32.49	34.92	34.83	36.89
183	32.58	35.07	34.96	37.05
184	32.67	35.21	35.09	37.19
185	32.75	35.34	35.22	37.31
186	32.84	35.37	35.35	37.25
187	32.93	35.32	35.46	37.07
188	33.01	35.20	35.52	36.83
189	33.08	35.04	35.54	36.58
190	33.14	34.86	35.53	36.34
191	33.17	34.67	35.50	36.10
192	33.20	34.49	35.46	35.89
193	33.21	34.32	35.40	35.69
194	33.21	34.14	35.33	35.50
195	33.20	33.99	35.26	35.33
196	33.19	33.84	35.18	35.16
197	33.16	33.69	35.10	35.01
198	33.14	33.56	35.01	34.86
199	33.11	33.43	34.92	34.73
200	33.07	33.31	34.84	34.60
201	33.04	33.20	34.75	34.48
202	32.99	33.10	34.66	34.36
203	32.96	33.00	34.57	34.25
204	32.92	32.90	34.48	34.14
205	32.88	32.82	34.38	34.07
206	32.83	32.83	34.31	34.18
207	32.79	32.93	34.25	34.43
208	32.76	33.11	34.24	34.72
209	32.74	33.31	34.27	35.03
210	32.73	33.53	34.32	35.32
211	32.74	33.76	34.39	35.60
212	32.76	33.99	34.49	35.85
213	32.80	34.21	34.59	36.10
214	32.84	34.42	34.70	36.33
215	32.90	34.63	34.83	36.55
216	32.96	34.82	34.95	36.75
217	33.02	35.01	35.07	36.94
218	33.10	35.19	35.20	37.13
219	33.17	35.36	35.34	37.30
220	33.25	35.53	35.47	37.47
221	33.34	35.68	35.60	37.64
222	33.42	35.83	35.73	37.79
223	33.50	35.97	35.87	37.94
224	33.59	36.11	35.99	38.09
225	33.67	36.23	36.13	38.19
226	33.76	36.27	36.25	38.12
227	33.84	36.20	36.34	37.93
228	33.92	36.07	36.40	37.69
229	33.99	35.90	36.42	37.43
230	34.04	35.72	36.40	37.19
231	34.07	35.54	36.37	36.96
232	34.09	35.36	36.32	36.74
233	34.10	35.18	36.26	36.54
234	34.10	35.01	36.19	36.35
235	34.08	34.85	36.12	36.17
236	34.08	34.69	36.03	36.00
237	34.05	34.55	35.95	35.85
238	34.01	34.41	35.86	35.70
239	33.98	34.28	35.77	35.57
240	33.94	34.16	35.68	35.44
241	33.90	34.05	35.59	35.31
242	33.86	33.94	35.49	35.19
243	33.82	33.84	35.40	35.08
244	33.78	33.74	35.31	34.97
245	33.73	33.66	35.22	34.90
246	33.69	33.67	35.13	35.01
247	33.64	33.77	35.08	35.25
248	33.61	33.94	35.06	35.54
249	33.58	34.14	35.08	35.84
250	33.58	34.36	35.14	36.13
251	33.58	34.59	35.22	36.41
252	33.60	34.82	35.31	36.67
253	33.63	35.03	35.41	36.92
254	33.68	35.25	35.52	37.14
255	33.73	35.45	35.63	37.35
256	33.79	35.64	35.76	37.56
257	33.86	35.83	35.88	37.75
258	33.93	36.01	36.01	37.94
259	34.00	36.18	36.14	38.11
260	34.08	36.34	36.26	38.28
261	34.16	36.49	36.40	38.44
262	34.23	36.64	36.53	38.59
263	34.32	36.78	36.66	38.74
264	34.40	36.91	36.79	38.88
265	34.49	37.04	36.92	38.99
266	34.57	37.08	37.03	38.94
267	34.65	37.02	37.13	38.75
268	34.73	36.89	37.18	38.50
269	34.79	36.72	37.20	38.25
270	34.84	36.54	37.19	38.00
271	34.87	36.36	37.16	37.76
272	34.89	36.17	37.12	37.55
273	34.90	35.99	37.05	37.33
274	34.89	35.81	36.98	37.14
275	34.88	35.65	36.90	36.97
276	34.86	35.49	36.82	36.79
277	34.83	35.35	36.73	36.63
278	34.80	35.20	36.64	36.48
279	34.76	35.07	36.54	36.35
280	34.73	34.95	36.45	36.21
281	34.69	34.83	36.36	36.09
282	34.64	34.72	36.26	35.96
283	34.60	34.62	36.17	35.85
284	34.56	34.51	36.08	35.74
285	34.51	34.44	35.98	35.65
286	34.47	34.43	35.89	35.75
287	34.42	34.53	35.83	35.98
288	34.38	34.69	35.82	36.27
289	34.35	34.89	35.83	36.56
290	34.34	35.11	35.88	36.85
291	34.34	35.33	35.95	37.13
292	34.36	35.55	36.04	37.39
293	34.39	35.77	36.14	37.63
294	34.43	35.98	36.25	37.86
295	34.48	36.18	36.36	38.07
296	34.54	36.37	36.48	38.27
297	34.61	36.56	36.60	38.47
298	34.67	36.74	36.72	38.64
299	34.74	36.90	36.86	38.81
300	34.81	37.06	36.98	38.98
301	34.89	37.22	37.11	39.14
302	34.97	37.36	37.23	39.29
303	35.05	37.50	37.36	39.43
304	35.13	37.63	37.48	39.57
305	35.21	37.75	37.61	39.70
306	35.29	37.81	37.73	39.68
307	35.37	37.77	37.84	39.51
308	35.45	37.66	37.90	39.28
309	35.52	37.50	37.92	39.02
310	35.57	37.32	37.91	38.76
311	35.60	37.12	37.88	38.52
312	35.62	36.94	37.83	38.30
313	35.63	36.75	37.77	38.09
314	35.62	36.57	37.70	37.89
315	35.61	36.40	37.62	37.70
316	35.59	36.24	37.53	37.53
317	35.56	36.09	37.45	37.36
318	35.53	35.95	37.35	37.21
319	35.49	35.80	37.26	37.07
320	35.45	35.68	37.17	36.93
321	35.41	35.56	37.07	36.80
322	35.37	35.45	36.97	36.67
323	35.32	35.34	36.87	36.55
324	35.27	35.24	36.78	36.44
325	35.23	35.15	36.68	36.36
326	35.17	35.13	36.59	36.44
327	35.13	35.23	36.53	36.66
328	35.08	35.38	36.50	36.95
