#	Temperatur 7 (°C)	Temperatur 8 (°C)
278	37.37	33.45
279	37.27	33.46
280	37.16	33.47
281	37.07	33.47
282	36.97	33.48
283	36.88	33.49
284	36.79	33.49
285	36.70	33.49
286	36.62	33.50
287	36.55	33.50
288	36.47	33.50
289	36.40	33.50
290	36.33	33.50
291	36.26	33.49
292	36.19	33.50
293	36.13	33.49
294	36.07	33.48
295	36.02	33.48
296	35.96	33.48
297	35.91	33.46
298	35.85	33.46
299	35.81	33.46
300	35.76	33.45
301	35.71	33.44
302	35.66	33.43
303	35.63	33.42
304	35.60	33.42
305	35.60	33.41
306	35.63	33.40
307	35.70	33.39
308	35.80	33.38
309	35.92	33.37
310	36.07	33.36
311	36.22	33.35
312	36.38	33.34
313	36.56	33.33
314	36.73	33.33
315	36.91	33.32
316	37.09	33.31
317	37.26	33.30
318	37.44	33.30
319	37.61	33.30
320	37.78	33.29
321	37.95	33.29
322	38.11	33.29
323	38.27	33.29
324	38.42	33.29
325	38.57	33.30
326	38.72	33.30
327	38.86	33.31
328	38.99	33.32
329	39.13	33.33
330	39.26	33.33
331	39.38	33.34
332	39.50	33.36
333	39.62	33.37
334	39.73	33.39
335	39.84	33.41
336	39.94	33.42
337	40.04	33.44
338	40.14	33.46
339	40.23	33.48
340	40.32	33.50
341	40.41	33.52
342	40.49	33.54
343	40.58	33.56
344	40.65	33.59
345	40.73	33.62
346	40.80	33.64
347	40.88	33.66
348	40.95	33.70
349	41.02	33.72
350	41.08	33.75
351	41.15	33.77
352	41.21	33.80
353	41.26	33.83
354	41.31	33.85
355	41.33	33.89
356	41.31	33.92
357	41.27	33.94
358	41.20	33.98
359	41.10	34.00
360	40.98	34.03
361	40.86	34.06
362	40.72	34.09
363	40.57	34.11
364	40.43	34.14
365	40.28	34.17
366	40.12	34.19
367	39.97	34.22
368	39.82	34.24
369	39.67	34.26
370	39.53	34.28
371	39.39	34.31
372	39.25	34.32
373	39.11	34.34
374	38.98	34.36
375	38.86	34.37
376	38.73	34.38
377	38.62	34.40
378	38.49	34.41
379	38.39	34.42
380	38.28	34.43
381	38.17	34.43
382	38.07	34.44
383	37.98	34.45
384	37.89	34.45
385	37.79	34.46
386	37.71	34.46
387	37.63	34.46
388	37.55	34.46
389	37.47	34.46
390	37.40	34.45
391	37.33	34.45
392	37.26	34.44
393	37.19	34.44
394	37.13	34.43
395	37.07	34.43
396	37.01	34.42
397	36.95	34.41
398	36.90	34.41
399	36.84	34.40
400	36.80	34.39
401	36.75	34.38
402	36.70	34.37
403	36.65	34.36
404	36.62	34.35
405	36.62	34.34
406	36.65	34.33
407	36.72	34.32
408	36.82	34.31
409	36.94	34.30
410	37.08	34.29
411	37.23	34.27
412	37.39	34.27
413	37.56	34.26
414	37.73	34.25
415	37.91	34.24
416	38.08	34.23
417	38.26	34.22
418	38.43	34.21
419	38.60	34.21
420	38.77	34.21
421	38.93	34.20
422	39.10	34.20
423	39.25	34.20
424	39.40	34.20
425	39.55	34.20
426	39.68	34.21
