#p	n	channel
0	  133097	932
50	132258	910
100	132252	894
150	131151	875
200	129489	860
250	127602	823
300	124606	782
350	119948	756
400	117771	729
450	115922	712
500	115965	689
550	114158	674
600	112766	652
650	110443	630
700	109593	625
750	106939	592
800	102803	569
850	98282	  543
900	94237	  525
950	89703	  502
1000	85338	491
